Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
160,8,3,5,9,18,8,7,17,4,5,2,9,20,6,15,1,5,17,20,10,8,21,2,1,10,2,6,5,14,2,1,4,16,24,1,8,12,7,2,4,3,9,2,2,7,8,24,10,6,2,5,5,4,3,4,10,11,4,1,11,4,10,1,6,5,3,4,16,2,9,2,7,15,5,10,2,12,4,12,5,14,3,6,2,20,4,2,3,11,5,6,10,1,5,7,22,13,10,2,10,5,9,12,10,14,2,13,5,24,5,8,11,11,8,1,11,4,7,12,8,12,20,1,6,8,12,12,16,8,3,3,13,10,18,6,4,20,7,12,10,15,17,21,8,15,3,21,11,9,10,1,13,1,2,4,1,18,1,2,0,6,8,7,8,9,12,6,8,11
161,6,4,11,14,20,9,8,16,4,2,4,15,17,12,13,6,3,22,18,8,2,18,5,7,15,8,1,2,13,4,6,10,12,17,6,2,14,6,4,11,5,10,5,6,12,5,21,5,8,5,7,2,4,5,4,5,5,4,6,17,2,15,6,1,2,5,4,22,4,11,5,13,17,2,5,5,11,9,11,2,8,4,12,6,18,4,5,4,9,4,12,15,7,5,12,20,7,5,6,11,2,5,10,16,20,8,15,2,22,2,4,12,9,8,6,17,2,2,10,14,10,18,6,8,6,10,14,18,10,4,8,18,14,15,4,8,19,2,5,15,9,17,19,6,10,4,18,18,7,12,6,8,7,4,3,6,17,6,8,6,0,2,4,2,2,6,11,6,7
162,4,6,13,16,22,11,10,14,6,3,6,16,16,14,11,7,5,24,16,6,2,16,6,8,17,10,2,3,11,6,8,11,12,16,7,2,15,5,6,12,6,12,7,8,14,7,20,3,10,6,8,3,6,7,5,3,4,5,8,20,4,17,8,2,4,7,5,23,6,12,7,14,19,4,4,6,12,11,12,3,6,6,13,8,18,5,6,6,8,6,14,16,8,7,14,18,5,4,8,14,4,6,9,17,20,10,18,4,22,4,5,14,8,10,8,19,4,1,9,16,10,16,9,9,4,8,15,19,12,5,10,21,16,15,5,9,17,4,3,17,10,14,18,4,8,5,17,19,8,14,8,10,8,6,4,8,15,7,9,8,2,0,6,2,3,4,12,5,8
163,10,5,11,16,15,10,4,21,6,5,5,16,23,12,17,6,7,22,21,12,4,22,5,8,15,8,5,4,16,5,6,10,16,17,6,4,13,9,5,11,5,6,6,6,12,2,26,4,4,5,6,6,6,6,6,5,4,6,6,18,4,16,7,5,5,5,6,22,5,7,6,13,13,5,5,5,14,10,14,5,8,5,13,6,22,6,6,5,14,2,12,16,8,7,13,24,6,4,6,7,5,2,14,15,19,8,12,5,26,5,2,8,14,4,6,17,5,6,14,14,14,21,7,4,10,14,13,12,6,6,8,19,15,20,8,8,22,3,5,16,8,20,23,10,9,5,24,19,11,8,7,7,7,4,4,6,20,6,8,7,4,6,0,4,3,6,11,12,4
164,6,6,12,17,20,11,8,16,5,4,6,16,18,14,13,8,5,26,19,8,1,18,6,9,16,10,2,4,12,6,8,11,14,16,7,1,13,6,6,12,7,10,8,8,14,5,21,3,8,7,7,3,6,7,6,3,3,5,7,18,4,17,8,2,4,6,6,24,6,11,7,14,17,4,3,7,12,11,12,4,6,6,14,7,19,6,7,6,9,4,14,18,9,7,14,20,5,3,8,11,4,4,10,18,22,10,16,4,24,4,3,12,9,8,8,20,4,2,10,16,10,18,9,8,6,10,14,16,9,6,10,20,16,16,5,10,20,2,3,18,8,16,19,6,8,6,18,19,8,12,8,8,8,6,4,8,17,7,9,8,2,2,4,0,1,4,13,7,7
165,7,7,13,17,18,11,7,17,6,4,7,18,20,15,14,8,6,24,18,9,1,19,7,10,18,11,3,4,14,6,8,11,14,15,8,2,14,7,6,13,7,9,8,8,14,4,23,2,7,7,8,4,6,7,6,3,2,6,8,20,5,17,9,3,4,7,6,24,7,10,8,16,16,4,3,7,12,12,12,4,6,7,14,9,20,6,7,6,10,4,15,16,10,8,14,20,5,2,8,10,4,4,11,17,22,10,14,4,24,4,2,12,11,6,8,19,4,3,12,17,10,20,9,7,7,11,15,16,9,6,11,21,17,16,6,10,20,2,3,18,7,17,20,7,8,6,19,20,8,11,8,7,9,6,5,8,17,8,10,9,2,3,3,1,0,4,13,8,6
166,8,10,16,20,20,15,7,18,10,7,10,21,19,18,15,11,8,28,19,9,4,20,10,12,20,13,6,7,14,10,12,14,15,12,12,4,17,9,10,16,10,9,10,11,17,4,23,2,6,11,11,7,9,10,9,2,2,9,11,23,8,21,11,6,7,10,9,28,10,9,11,18,16,8,2,10,15,14,15,7,3,10,16,11,20,9,11,10,11,7,17,21,12,11,18,20,2,2,12,10,7,4,12,21,25,13,14,7,24,8,4,11,12,6,12,23,8,5,12,20,13,19,13,9,8,12,18,16,8,9,13,25,20,18,8,14,21,5,2,21,7,18,20,9,4,10,20,24,11,10,12,6,12,9,8,11,18,10,13,12,6,4,6,4,4,0,15,8,6
167,14,9,6,10,12,14,10,23,9,10,6,10,26,10,22,6,11,20,26,16,12,26,7,6,10,6,10,9,21,6,6,3,21,27,6,13,6,14,8,9,8,9,8,5,2,12,30,15,10,8,6,10,9,8,9,15,15,9,5,7,9,11,5,10,10,6,10,12,7,8,6,3,9,9,16,6,17,3,18,10,18,9,5,7,26,10,6,8,16,10,9,16,6,11,2,26,17,15,7,9,9,13,18,10,10,5,8,9,30,9,12,9,17,12,6,14,9,12,18,10,18,27,6,8,13,17,6,10,8,9,8,10,15,24,12,4,26,11,16,10,19,23,27,13,20,9,25,14,14,12,6,18,6,7,8,7,24,6,7,6,11,12,11,13,13,15,0,14,15
168,2,6,8,12,27,7,15,10,6,6,10,12,11,10,7,9,4,21,12,1,7,12,8,8,12,9,6,7,6,10,9,12,7,20,8,7,20,2,7,8,6,17,8,10,16,12,16,8,14,7,13,5,6,6,6,8,8,6,10,19,7,13,10,7,7,11,5,21,10,18,9,14,23,6,8,9,7,12,7,7,11,6,10,8,12,6,9,6,3,11,10,12,8,4,15,13,10,9,7,18,6,12,4,13,18,9,22,6,17,6,10,18,3,14,10,15,7,5,4,12,5,12,10,15,2,4,21,24,16,6,6,16,12,9,3,12,12,8,8,13,16,10,12,2,12,6,12,15,3,20,9,14,10,8,8,8,10,9,8,8,6,5,12,7,8,8,14,0,14
169,13,9,15,18,18,14,6,22,9,8,9,19,26,16,20,10,10,27,24,14,7,24,9,11,19,12,8,7,20,8,10,13,20,13,10,7,16,13,8,14,9,6,10,10,17,3,29,6,6,9,10,9,9,9,9,7,5,8,10,20,7,19,10,7,8,9,8,27,9,8,10,18,12,7,6,9,17,13,16,8,6,9,16,10,25,9,10,9,16,6,17,19,12,10,16,25,6,5,10,6,8,3,17,19,24,12,13,8,30,8,4,6,16,3,11,21,7,9,17,18,16,24,11,8,14,16,18,10,8,8,12,22,20,22,11,12,25,6,7,20,4,24,26,12,6,8,26,22,14,6,11,3,11,9,7,11,24,10,12,11,7,8,4,7,6,6,15,14,0
